"Event_ID","Fight_ID","ID","corner","Date","Name"
816,6627,2809,"blue","2017-04-15","Ketlen Vieira"
816,6545,1970,"blue","2017-04-15","Tim Elliott"
816,6547,2789,"blue","2017-04-15","Andrew Sanchez"
816,6589,2375,"blue","2017-04-16","Renato Moicano"
816,6546,2364,"blue","2017-04-15","Jake Collier"
816,6624,2882,"blue","2017-04-16","Tom Duquesnoy"
816,6591,896,"red","2017-04-16","Jacare Souza"
816,6625,1683,"red","2017-04-15","Bobby Green"
816,6592,1422,"red","2017-04-15","Zak Cummings"
816,6545,2166,"red","2017-04-15","Louis Smolka"
816,6592,1296,"blue","2017-04-15","Nathan Coy"
816,6602,1015,"blue","2017-04-16","Roy Nelson"
816,6624,2219,"red","2017-04-16","Patrick Williams"
816,6544,2344,"red","2017-04-16","Rose Namajunas"
816,6546,2780,"red","2017-04-15","Devin Clark"
816,6547,1843,"red","2017-04-15","Anthony Smith"
816,6626,2177,"red","2017-04-15","Aljamain Sterling"
816,6590,2095,"blue","2017-04-16","Wilson Reis"
816,6627,2368,"red","2017-04-15","Ashlee Evans-Smith"
816,6589,545,"red","2017-04-16","Jeremy Stephens"
816,6544,1347,"blue","2017-04-16","Michelle Waterson"
816,6625,2158,"blue","2017-04-15","Rashid Magomedov"
816,6602,2492,"red","2017-04-16","Alexander Volkov"
816,6626,2748,"blue","2017-04-15","Augusto Mendes"
816,6590,1495,"red","2017-04-16","Demetrious Johnson"
816,6591,2037,"blue","2017-04-16","Robert Whittaker"
813,6531,516,"blue","2017-04-10","Anthony Johnson"
813,6555,2042,"red","2017-04-09","Will Brooks"
813,6532,2300,"blue","2017-04-10","Jan Blachowicz"
813,6607,2230,"blue","2017-04-10","Mike de la Torre"
813,6572,2773,"red","2017-04-10","Josh Emmett"
813,6571,511,"red","2017-04-10","Thiago Alves"
813,6571,405,"blue","2017-04-10","Patrick Cote"
813,6533,2843,"blue","2017-04-10","Irene Aldana"
813,6572,2872,"blue","2017-04-10","Desmond Green"
813,6534,2330,"blue","2017-04-10","Charles Rosa"
813,6561,2204,"blue","2017-04-09","Sean Strickland"
813,6607,1974,"red","2017-04-10","Myles Jury"
813,6573,2585,"blue","2017-04-10","Andrew Holbrook"
813,6522,786,"blue","2017-04-09","Gegard Mousasi"
813,6606,2870,"red","2017-04-10","Cynthia Calvillo"
813,6522,1769,"red","2017-04-09","Chris Weidman"
813,6555,1531,"blue","2017-04-09","Charles Oliveira"
813,6534,2847,"red","2017-04-10","Shane Burgos"
813,6531,1409,"red","2017-04-10","Daniel Cormier"
813,6533,2785,"red","2017-04-10","Katlyn Chookagian"
813,6532,1694,"red","2017-04-10","Patrick Cummins"
813,6605,2880,"blue","2017-04-08","Magomed Bibulatov"
813,6606,2881,"blue","2017-04-10","Pearl Gonzalez"
813,6573,2812,"red","2017-04-10","Gregor Gillespie"
813,6605,2823,"red","2017-04-08","Jenel Lausa"
813,6561,2587,"red","2017-04-09","Kamaru Usman"
811,6512,2359,"blue","2017-03-18","Marlon Vera"
811,6513,2329,"red","2017-03-18","Leon Edwards"
811,6516,2030,"red","2017-03-18","Bradley Scott"
811,6521,2425,"blue","2017-03-18","Tim Johnson"
811,6513,2588,"blue","2017-03-18","Vicente Luque"
811,6519,2281,"blue","2017-03-18","Corey Anderson"
811,6558,2291,"blue","2017-03-19","Alan Jouban"
811,6530,2373,"blue","2017-03-18","Makwan Amirkhani"
811,6558,2015,"red","2017-03-19","Gunnar Nelson"
811,6516,2302,"blue","2017-03-18","Scott Askham"
811,6517,2085,"blue","2017-03-18","Francimar Barroso"
811,6519,2009,"red","2017-03-18","Jimi Manuwa"
811,6514,2604,"blue","2017-03-18","Teemu Packalen"
811,6518,1918,"blue","2017-03-18","Reza Madadi"
811,6517,2828,"red","2017-03-18","Darren Stewart"
811,6520,2879,"blue","2017-03-18","Lucie Pudilova"
811,6521,2083,"red","2017-03-18","Daniel Omielanczuk"
811,6512,1170,"red","2017-03-18","Brad Pickett"
811,6518,2426,"red","2017-03-18","Joe Duffy"
811,6530,2570,"red","2017-03-18","Arnold Allen"
811,6514,2822,"red","2017-03-18","Marc Diakiese"
811,6520,2811,"red","2017-03-18","Lina Lansberg"
810,6495,1742,"blue","2017-03-13","Gian Villante"
810,6510,2133,"red","2017-03-13","Bethe Correia"
810,6585,2876,"blue","2017-03-13","Paulo Borrachinha"
810,6538,2074,"red","2017-03-12","Michel Prazeres"
810,6525,2807,"blue","2017-03-12","Jeremy Kennedy"
810,6537,2217,"blue","2017-03-12","Ray Borg"
810,6543,2157,"blue","2017-03-13","Kevin Lee"
810,6473,2070,"blue","2017-03-13","Kelvin Gastelum"
810,6535,1952,"blue","2017-03-13","Tim Means"
810,6473,295,"red","2017-03-13","Vitor Belfort"
810,6538,407,"blue","2017-03-12","Joshua Burkman"
810,6539,2877,"blue","2017-03-12","Davi Ramos"
810,6537,2011,"red","2017-03-12","Jussier Formiga"
810,6562,2309,"blue","2017-03-13","Joe Soto"
810,6539,1992,"red","2017-03-12","Sergio Moraes"
810,6543,1997,"red","2017-03-13","Francisco Trinaldo"
810,6495,457,"red","2017-03-13","Mauricio Rua"
810,6562,1044,"red","2017-03-13","Rani Yahya"
810,6510,2376,"blue","2017-03-13","Marion Reneau"
810,6525,1994,"red","2017-03-12","Rony Jason"
810,6535,2469,"red","2017-03-13","Alex Oliveira"
810,6474,2168,"blue","2017-03-13","Beneil Dariush"
810,6585,2428,"red","2017-03-13","Garreth McLellan"
810,6474,1657,"red","2017-03-13","Edson Barboza"
809,6494,2827,"red","2017-03-06","Mark Godbeer"
809,6563,387,"red","2017-03-06","Rashad Evans"
809,6560,2840,"red","2017-03-06","Tyson Pedro"
809,6497,1944,"blue","2017-03-06","Stephen Thompson"
809,6494,2875,"blue","2017-03-06","Daniel Spitz"
809,6575,2792,"red","2017-03-06","Amanda Cooper"
809,6509,2734,"blue","2017-03-06","David Teymur"
809,6493,2213,"red","2017-03-06","Mirsad Bektic"
809,6559,1706,"red","2017-03-06","Iuri Alcantara"
809,6570,2658,"blue","2017-03-06","Luis Henrique"
809,6576,2874,"blue","2017-03-06","Andre Soukhamthath"
809,6487,808,"red","2017-03-06","Alistair Overeem"
809,6576,2405,"red","2017-03-06","Albert Morales"
809,6570,2753,"red","2017-03-06","Marcin Tybura"
809,6559,1737,"blue","2017-03-06","Luke Sanders"
809,6493,1486,"blue","2017-03-06","Darren Elkins"
809,6563,2324,"blue","2017-03-06","Daniel Kelly"
809,6497,1386,"red","2017-03-06","Tyron Woodley"
809,6509,2784,"red","2017-03-06","Lando Vannata"
809,6575,2870,"blue","2017-03-06","Cynthia Calvillo"
809,6560,2834,"blue","2017-03-06","Paul Craig"
809,6487,735,"blue","2017-03-06","Mark Hunt"
808,6506,2338,"red","2017-02-20","Carla Esparza"
808,6464,2831,"red","2017-02-20","Jack Marshman"
808,6528,2844,"red","2017-02-19","Gerald Meerschaert"
808,6466,2227,"red","2017-02-22","Nordine Taleb"
808,6467,2852,"red","2017-02-20","Aiemann Zahabi"
808,6526,2022,"red","2017-02-20","Sara McMann"
808,6463,2224,"red","2017-02-22","Elias Theodorou"
808,6465,2316,"red","2017-02-21","Paul Felder"
808,6527,947,"red","2017-02-22","Johny Hendricks"
808,6523,1515,"blue","2017-02-20","Travis Browne"
808,6529,2862,"blue","2017-02-20","Gavin Tucker"
808,6465,2819,"blue","2017-02-21","Alessandro Ricci"
808,6463,1991,"blue","2017-02-22","Cezar Ferreira"
808,6467,2571,"blue","2017-02-20","Reginaldo Vieira"
808,6466,2107,"blue","2017-02-22","Santiago Ponzinibbio"
808,6526,2866,"blue","2017-02-20","Gina Mazany"
808,6506,2350,"blue","2017-02-20","Randa Markos"
808,6529,1978,"red","2017-02-20","Sam Sicilia"
808,6527,768,"blue","2017-02-22","Hector Lombard"
808,6523,2082,"red","2017-02-20","Derrick Lewis"
808,6528,2803,"blue","2017-02-19","Ryan Janes"
808,6464,2087,"blue","2017-02-20","Thiago Santos"
807,6480,1137,"red","2017-02-13","Nik Lentz"
807,6468,1744,"blue","2017-02-13","Germaine de Randamie"
807,6508,235,"red","2017-02-13","Anderson Silva"
807,6481,2095,"red","2017-02-13","Wilson Reis"
807,6471,347,"blue","2017-02-13","Roan Carneiro"
807,6472,2739,"red","2017-02-13","Randy Brown"
807,6491,2821,"red","2017-02-13","Rick Glenn"
807,6469,2337,"blue","2017-02-13","Jared Cannonier"
807,6496,896,"red","2017-02-13","Jacare Souza"
807,6482,1595,"red","2017-02-13","Dustin Poirier"
807,6471,2055,"red","2017-02-13","Ryan LaFlare"
807,6480,2466,"blue","2017-02-13","Islam Makhachev"
807,6508,1806,"blue","2017-02-13","Derek Brunson"
807,6469,1968,"red","2017-02-13","Glover Teixeira"
807,6496,435,"blue","2017-02-13","Tim Boetsch"
807,6482,509,"blue","2017-02-13","Jim Miller"
807,6468,2317,"red","2017-02-13","Holly Holm"
807,6472,2778,"blue","2017-02-13","Belal Muhammad"
807,6491,515,"blue","2017-02-13","Phillipe Nover"
807,6481,2296,"blue","2017-02-13","Ulka Sasaki"
806,6503,2859,"blue","2017-01-31","Eric Shelton"
806,6475,1076,"red","2017-01-31","Donald Cerrone"
806,6449,2815,"red","2017-01-31","Jason Gonzalez"
806,6477,2264,"blue","2017-01-31","Sam Alvey"
806,6489,2860,"blue","2017-01-31","Jeremy Kimball"
806,6500,1755,"red","2017-01-31","Alex Caceres"
806,6501,2177,"blue","2017-01-31","Aljamain Sterling"
806,6476,2659,"blue","2017-01-31","Francis Ngannou"
806,6502,2782,"red","2017-01-31","Eric Spicely"
806,6488,2855,"red","2017-01-31","Bobby Nash"
806,6498,2768,"red","2017-01-31","Henrique da Silva"
806,6488,2206,"blue","2017-01-31","Li Jingliang"
806,6501,1039,"red","2017-01-31","Raphael Assuncao"
806,6476,367,"red","2017-01-31","Andrei Arlovski"
806,6449,2797,"blue","2017-01-31","JC Cottrell"
806,6477,372,"red","2017-01-31","Nate Marquardt"
806,6498,2856,"blue","2017-01-31","Jordan Johnson"
806,6500,2724,"blue","2017-01-31","Jason Knight"
806,6455,2731,"red","2017-01-31","Valentina Shevchenko"
806,6489,1865,"red","2017-01-31","Marcos Rogerio de Lima"
806,6455,1511,"blue","2017-01-31","Julianna Pena"
806,6475,1272,"blue","2017-01-31","Jorge Masvidal"
806,6503,2858,"red","2017-01-31","Alexandre Pantoja"
806,6502,2755,"blue","2017-01-31","Alessio Di Chirico"
804,6451,2343,"blue","2017-02-06","Felice Herrig"
804,6524,2861,"blue","2017-02-06","Marcel Fortuna"
804,6459,2764,"blue","2017-03-17","Curtis Blaydes"
804,6450,1494,"blue","2017-02-20","Chan Sung Jung"
804,6452,2013,"red","2017-02-06","Abel Trujillo"
804,6492,2623,"red","2017-02-06","Daniel Jolly"
804,6453,2863,"blue","2017-02-06","Volkan Oezdemir"
804,6451,2814,"red","2017-02-06","Alexa Grasso"
804,6450,1907,"red","2017-02-20","Dennis Bermudez"
804,6459,2763,"red","2017-03-17","Adam Milstead"
804,6490,2737,"red","2017-02-06","Alex Morono"
804,6505,2340,"red","2017-02-06","Tecia Torres"
804,6511,2079,"red","2017-02-06","Jessica Andrade"
804,6511,2352,"blue","2017-02-06","Angela Hill"
804,6460,2214,"red","2017-02-06","Chas Skelly"
804,6505,2345,"blue","2017-02-06","Bec Rawlings"
804,6460,1622,"blue","2017-02-06","Chris Gruetzemacher"
804,6452,1984,"blue","2017-02-06","James Vick"
804,6492,2790,"blue","2017-02-06","Khalil Rountree Jr."
804,6453,1499,"red","2017-02-06","Ovince Saint Preux"
804,6499,2857,"red","2017-02-06","Ricardo Ramos"
804,6499,2210,"blue","2017-02-06","Michinori Tanaka"
804,6490,2851,"blue","2017-02-06","Niko Price"
804,6524,2215,"red","2017-02-06","Anthony Hamilton"
803,6423,1543,"red","2017-01-17","Court McGee"
803,6484,2304,"red","2017-01-17","Frankie Saenz"
803,6486,2710,"red","2017-01-17","Jocelyn Jones-Lybarger"
803,6433,2767,"red","2017-01-17","Dmitrii Smoliakov"
803,6425,2841,"red","2017-01-17","Devin Powell"
803,6435,2810,"blue","2017-01-17","Joachim Christensen"
803,6436,361,"blue","2017-01-17","BJ Penn"
803,6424,2216,"blue","2017-01-17","Alex White"
