"Fight_ID","ID","Event_ID","Date","winner","winby","corner","Last_round","Max_round","RStreak","Height","Weight","Age","HomeTown"
6627,2809,816,"2017-04-15","blue","DEC","blue",3,3,1,172,61,25,"Manaus, Amazonas Brazil"
6545,1970,816,"2017-04-15","blue","DEC","blue",3,3,0,170,56,30,"Wichita, Kansas USA"
6547,2789,816,"2017-04-15","red","KO/TKO","blue",3,3,2,185,84,28,"Belleville, Illinois USA"
6589,2375,816,"2017-04-16","blue","DEC","blue",3,3,2,180,65,27,"Brasilia Brazil"
6546,2364,816,"2017-04-15","red","DEC","blue",3,3,1,190,84,28,"St. Louis, Missouri USA"
6624,2882,816,"2017-04-16","blue","KO/TKO","blue",2,3,0,170,61,23,"Paris France"
6591,896,816,"2017-04-16","blue","KO/TKO","red",2,3,2,185,84,37,"Espiritos Santos Brazil"
6625,1683,816,"2017-04-15","blue","DEC","red",3,3,0,177,70,30,"Fontana, California USA"
6592,1422,816,"2017-04-15","red","SUB","red",1,3,1,182,77,32,"Irving, TX USA"
6545,2166,816,"2017-04-15","blue","DEC","red",3,3,0,175,56,25,"Honolulu, HI USA"
6592,1296,816,"2017-04-15","red","SUB","blue",1,3,1,177,77,38,"Portland, Oregon USA"
6602,1015,816,"2017-04-16","red","DEC","blue",3,3,1,182,119,40,"Las Vegas, Nevada USA"
6624,2219,816,"2017-04-16","blue","KO/TKO","red",2,3,1,172,61,35,"Miami, Florida USA"
6544,2344,816,"2017-04-16","red","SUB","red",2,3,0,165,52,24,"Milwaukee, Wisconsin USA"
6546,2780,816,"2017-04-15","red","DEC","red",3,3,1,182,93,26,"Sioux Falls, South Dakota USA"
6547,1843,816,"2017-04-15","red","KO/TKO","red",3,3,1,193,84,28,"Corpus Christi, Texas USA"
6626,2177,816,"2017-04-15","red","DEC","red",3,3,0,170,61,27,"Long Island, New York USA"
6590,2095,816,"2017-04-16","red","SUB","blue",3,5,3,162,56,32,"Januaria, Minas Gerais Brazil"
6627,2368,816,"2017-04-15","blue","DEC","red",3,3,1,172,61,29,"Ukiah, California USA"
6589,545,816,"2017-04-16","blue","DEC","red",3,3,0,175,65,30,"Des Moines, Iowa United States"
6544,1347,816,"2017-04-16","red","SUB","blue",2,3,2,160,52,31,"Aurora, CO USA"
6625,2158,816,"2017-04-15","blue","DEC","blue",3,3,0,175,70,32,"Dagestan Russia"
6602,2492,816,"2017-04-16","red","DEC","red",3,3,1,200,113,28,"Moscow Russia"
6626,2748,816,"2017-04-15","red","DEC","blue",3,3,1,167,61,34,"Rio de Janeiro Brazil"
