"ID","Date","Age","Height","HomeTown","Name","Prev","RStreak","Weight"
2809,"2017-04-15",25,172,"Manaus, Amazonas Brazil","Ketlen Vieira",1,1,61
1970,"2017-04-15",30,170,"Wichita, Kansas USA","Tim Elliott",1,0,56
2789,"2017-04-15",28,185,"Belleville, Illinois USA","Andrew Sanchez",2,2,84
2375,"2017-04-16",27,180,"Brasilia Brazil","Renato Moicano",2,2,65
2364,"2017-04-15",28,190,"St. Louis, Missouri USA","Jake Collier",3,1,84
2882,"2017-04-16",23,170,"Paris France","Tom Duquesnoy",0,0,61
896,"2017-04-16",37,185,"Espiritos Santos Brazil","Jacare Souza",6,2,84
1683,"2017-04-15",30,177,"Fontana, California USA","Bobby Green",3,0,70
1422,"2017-04-15",32,182,"Irving, TX USA","Zak Cummings",6,1,77
2166,"2017-04-15",25,175,"Honolulu, HI USA","Louis Smolka",8,0,56
1296,"2017-04-15",38,177,"Portland, Oregon USA","Nathan Coy",2,1,77
1015,"2017-04-16",40,182,"Las Vegas, Nevada USA","Roy Nelson",7,1,119
2219,"2017-04-16",35,172,"Miami, Florida USA","Patrick Williams",2,1,61
2344,"2017-04-16",24,165,"Milwaukee, Wisconsin USA","Rose Namajunas",4,0,52
2780,"2017-04-15",26,182,"Sioux Falls, South Dakota USA","Devin Clark",2,1,93
1843,"2017-04-15",28,193,"Corpus Christi, Texas USA","Anthony Smith",2,1,84
2177,"2017-04-15",27,170,"Long Island, New York USA","Aljamain Sterling",6,0,61
2095,"2017-04-16",32,162,"Januaria, Minas Gerais Brazil","Wilson Reis",7,3,56
2368,"2017-04-15",29,172,"Ukiah, California USA","Ashlee Evans-Smith",2,1,61
545,"2017-04-16",30,175,"Des Moines, Iowa United States","Jeremy Stephens",6,0,65
1347,"2017-04-16",31,160,"Aurora, CO USA","Michelle Waterson",2,2,52
2158,"2017-04-15",32,175,"Dagestan Russia","Rashid Magomedov",1,0,70
2492,"2017-04-16",28,200,"Moscow Russia","Alexander Volkov",1,1,113
2748,"2017-04-15",34,167,"Rio de Janeiro Brazil","Augusto Mendes",2,1,61
1495,"2017-04-16",30,160,"Madisonville, KY USA","Demetrious Johnson",6,6,56
2037,"2017-04-16",26,182,"Middlemore New Zealand","Robert Whittaker",7,6,84
516,"2017-04-10",33,187,"Dublin, Georgia USA","Anthony Johnson",6,3,93
2042,"2017-04-09",30,177,"Chicago, Illinois United States","Will Brooks",2,0,70
2300,"2017-04-10",34,187,"Cieszyn Poland","Jan Blachowicz",5,0,93
2230,"2017-04-10",30,180,"San Diego, California United States","Mike de la Torre",6,0,65
2773,"2017-04-10",32,172,"Sacramento, California USA","Josh Emmett",2,2,70
511,"2017-04-10",33,175,"Fortaleza Brazil","Thiago Alves",4,0,70
405,"2017-04-10",37,180,"Rimouski, Quebec Canada","Patrick Cote",6,0,77
2843,"2017-04-10",28,175,"Culiacan, Sinaloa Mexico","Irene Aldana",1,0,61
2872,"2017-04-10",27,177,"0","Desmond Green",0,0,70
2330,"2017-04-10",30,175,"Peabody, Massachusetts USA","Charles Rosa",4,1,65
2204,"2017-04-09",26,185,"Anaheim, California USA","Sean Strickland",5,5,77
1974,"2017-04-10",28,180,"Hazel Park, Michigan USA","Myles Jury",3,0,65
2585,"2017-04-10",31,180,"Adrian, Michigan USA","Andrew Holbrook",3,1,70
786,"2017-04-09",31,187,"The Netherlands","Gegard Mousasi",10,4,84
2870,"2017-04-10",29,162,"San Jose, California United States","Cynthia Calvillo",1,1,52
1769,"2017-04-09",32,187,"Mineola, New York United States","Chris Weidman",4,0,84
1531,"2017-04-09",27,177,"Sao Paulo Brazil","Charles Oliveira",6,0,65
2847,"2017-04-10",26,180,"Bronx, New York USA","Shane Burgos",1,1,65
1409,"2017-04-10",38,180,"Lafayette, Louisiana USA","Daniel Cormier",6,3,93
2785,"2017-04-10",28,175,"Quakertown, Pennsylvania United States","Katlyn Chookagian",2,0,61
1694,"2017-04-10",36,187,"Doylestown, Pennsylvania USA","Patrick Cummins",8,0,93
2880,"2017-04-08",28,165,"0","Magomed Bibulatov",0,0,56
2881,"2017-04-10",30,162,"0","Pearl Gonzalez",0,0,52
2812,"2017-04-10",30,175,"Rochester, New York United States","Gregor Gillespie",1,1,70
2823,"2017-04-08",28,165,"Concepcion, Iloilo Philippines","Jenel Lausa",1,1,56
2587,"2017-04-09",29,182,"Auchi Nigeria","Kamaru Usman",4,4,77
2359,"2017-03-18",24,172,"Chone, Manabi Ecuador","Marlon Vera",3,1,61
2329,"2017-03-18",25,182,"Kingston Jamaica","Leon Edwards",6,2,77
2030,"2017-03-18",27,185,"Bath England","Bradley Scott",3,0,84
2425,"2017-03-18",32,190,"Lamberton, Minnesota United States","Tim Johnson",2,0,120
2588,"2017-03-18",25,180,"Westwood, New Jersey United States","Vicente Luque",4,3,77
2281,"2017-03-18",27,190,"Rockton, Illinois United States","Corey Anderson",3,1,93
2291,"2017-03-19",35,182,"Los Angeles, California United States","Alan Jouban",8,3,77
2373,"2017-03-18",28,177,"Kurdistan","Makwan Amirkhani",2,2,65
2015,"2017-03-19",28,180,"Reykjavik Iceland","Gunnar Nelson",4,4,77
2302,"2017-03-18",28,190,"Yorkshire England","Scott Askham",4,0,84
2085,"2017-03-18",37,185,"Xapuri, Acre Brazil","Francimar Barroso",5,0,93
2009,"2017-03-18",37,185,"Sacramento, California United States","Jimi Manuwa",4,1,93
2604,"2017-03-18",29,185,"Turku Finland","Teemu Packalen",2,1,70
1918,"2017-03-18",38,180,"Tehran Iran","Reza Madadi",2,1,70
2828,"2017-03-18",26,177,"London England","Darren Stewart",1,0,93
2879,"2017-03-18",22,180,"Pribram Czech Republic","Lucie Pudilova",0,0,61
2083,"2017-03-18",34,182,"Sokolow, Podlaski Poland","Daniel Omielanczuk",6,0,112
1170,"2017-03-18",38,167,"East London England","Brad Pickett",7,0,61
2426,"2017-03-18",29,177,"Donegal Ireland","Joe Duffy",1,1,70
2570,"2017-03-18",23,172,"Ipswich England","Arnold Allen",1,1,65
2822,"2017-03-18",24,177,"Democratic Republic Congo","Marc Diakiese",2,2,70
2811,"2017-03-18",35,170,"Karlstad Sweden","Lina Lansberg",1,0,63
1742,"2017-03-13",31,190,"Levittown, New York United States","Gian Villante",6,1,93
2133,"2017-03-13",33,165,"Campina Grande, Paraiba Brazil","Bethe Correia",5,1,61
2876,"2017-03-13",25,182,"Belo Horizonte, MG Brazil","Paulo Borrachinha",0,0,84
2074,"2017-03-12",35,167,"Belem, Para Brazil","Michel Prazeres",4,3,70
2807,"2017-03-12",24,180,"Surrey, British Columbia Canada","Jeremy Kennedy",1,1,65
2217,"2017-03-12",23,162,"Tucson, Arizona United States","Ray Borg",6,1,56
2157,"2017-03-13",24,175,"Detroit, Michigan United States","Kevin Lee",8,3,70
2070,"2017-03-13",25,175,"San Jose, California United States","Kelvin Gastelum",8,2,84
1952,"2017-03-13",33,187,"Wilburton, Oklahoma USA","Tim Means",9,0,77
295,"2017-03-13",39,182,"Rio de Janeiro Brazil","Vitor Belfort",4,0,84
407,"2017-03-12",36,177,"Salt Lake City, Utah United States","Joshua Burkman",4,0,77
2877,"2017-03-12",30,172,"Rio de Janeiro Brazil","Davi Ramos",0,0,77
2011,"2017-03-12",31,165,"Rio Grande do Norte Brazil","Jussier Formiga",5,1,56
2309,"2017-03-13",30,167,"Porterville, California United States","Joe Soto",5,2,61
1992,"2017-03-12",34,182,"São Paulo Brasil","Sergio Moraes",4,1,77
1997,"2017-03-13",38,175,"Amarante, Piaui Brazil","Francisco Trinaldo",9,7,70
457,"2017-03-13",35,185,"Curitiba Brazil","Mauricio Rua",3,1,93
1044,"2017-03-13",32,167,"Brasilia Brazil","Rani Yahya",5,4,61
2376,"2017-03-13",39,167,"Tulare, California United States","Marion Reneau",1,1,61
1994,"2017-03-12",33,170,"Quixada, Ceara Brazil","Rony Jason",4,0,65
2469,"2017-03-13",29,180,"Tres Rios, Rio de Janeiro Brazil","Alex Oliveira",8,0,77
2168,"2017-03-13",27,177,"Goetapeh Iran","Beneil Dariush",10,2,70
2428,"2017-03-13",34,185,"Vereeniging, Gauteng South Africa","Garreth McLellan",2,0,84
1657,"2017-03-13",31,180,"Rio de Janeiro Brazil","Edson Barboza",8,2,70
2827,"2017-03-06",33,187,"Taunton  England","Mark Godbeer",1,0,109
387,"2017-03-06",37,182,"Niagara Falls, New York United States","Rashad Evans",2,0,84
2840,"2017-03-06",25,190,"Sydeny Australia ","Tyson Pedro",1,1,93
1944,"2017-03-06",34,182,"Simpsonville, South Carolina United States","Stephen Thompson",6,0,77
2875,"2017-03-06",26,0,"Spokane, Washington United States","Daniel Spitz",0,0,111
2792,"2017-03-06",25,160,"Lansing, Michigan United States","Amanda Cooper",2,1,52
2734,"2017-03-06",28,175,"Järfälla Sweden","David Teymur",2,2,70
2213,"2017-03-06",26,172,"Srebrenica Bosnia","Mirsad Bektic",4,4,65
1706,"2017-03-06",36,175,"Marajo Brazil","Iuri Alcantara",7,1,61
2658,"2017-03-06",23,187,"Rio de Janeiro Brazil","Luis Henrique",2,2,110
2874,"2017-03-06",28,175,"0","Andre Soukhamthath",0,0,61
808,"2017-03-06",36,193,"Hounslow England","Alistair Overeem",7,0,120
2405,"2017-03-06",25,175,"Granada Hills, California United States","Albert Morales",2,0,61
2753,"2017-03-06",31,190,"Uniejow Poland","Marcin Tybura",2,1,113
1737,"2017-03-06",31,167,"Brenham, Texas United States","Luke Sanders",1,1,65
1486,"2017-03-06",32,177,"Portage, Indiana United States","Darren Elkins",6,3,65
2324,"2017-03-06",39,182,"Melbourne, Victoria Australia","Daniel Kelly",3,3,84
1386,"2017-03-06",34,175,"St. Louis, Missouri United States","Tyron Woodley",6,0,77
2784,"2017-03-06",25,175,"Neptune, New Jersey United States","Lando Vannata",2,1,70
2870,"2017-03-06",29,162,"San Jose, California United States","Cynthia Calvillo",0,0,52
2834,"2017-03-06",29,193,"Airdrie Scotland","Paul Craig",1,1,93
735,"2017-03-06",43,177,"South Auckland New Zealand","Mark Hunt",6,0,120
2338,"2017-02-20",29,154,"Los Angeles, California United States","Carla Esparza",3,1,52
2831,"2017-02-20",27,182,"Abertillery South Wales","Jack Marshman",1,1,84
2844,"2017-02-19",29,185,"Racine, Wisconsin United States","Gerald Meerschaert",1,1,84
2227,"2017-02-22",35,185,"St. Tropez France","Nordine Taleb",4,1,77
2852,"2017-02-20",29,172,"Laval, Quebec Canada","Aiemann Zahabi",0,0,61
2022,"2017-02-20",36,167,"Takoma Park, Maryland United States","Sara McMann",6,2,61
2224,"2017-02-22",28,185,"Toronto, Ontario Canada","Elias Theodorou",5,1,84
2316,"2017-02-21",32,180,"Philadelphia, Pennsylvania United States","Paul Felder",7,0,70
947,"2017-02-22",33,175,"Ada, Oklahoma United States","Johny Hendricks",6,0,84
1515,"2017-02-20",34,200,"Honolulu, Hawaii United States","Travis Browne",6,0,115
2862,"2017-02-20",30,170,"St. Anthony , Newfoundland Canada","Gavin Tucker",0,0,65
2819,"2017-02-21",34,180,"Woodbridge, Ontario Canada","Alessandro Ricci",1,0,70
1991,"2017-02-22",32,185,"Ibitinga, Sao Paulo Brazil","Cezar Ferreira",7,3,84
2571,"2017-02-20",34,170,"Sao Paulo Brazil","Reginaldo Vieira",2,0,61
2107,"2017-02-22",30,182,"La Plata Argentina","Santiago Ponzinibbio",4,3,77
2866,"2017-02-20",28,167,"Anchorage, Alaska  United States","Gina Mazany",0,0,61
2350,"2017-02-20",31,162,"Baghdad Iraq","Randa Markos",5,0,52
1978,"2017-02-20",31,172,"Spokane, Washington United States","Sam Sicilia",6,0,65
768,"2017-02-22",39,175,"Matanzas Cuba","Hector Lombard",1,0,77
2082,"2017-02-20",32,190,"New Orleans, Louisiana United States","Derrick Lewis",9,4,118
2803,"2017-02-19",35,190,"Grand Falls-Winsor, Newfoundland Canada","Ryan Janes",1,1,84
2087,"2017-02-20",33,182,"Rio de Janeiro Brazil","Thiago Santos",8,0,84
1137,"2017-02-13",32,172,"El Paso, Texas United States","Nik Lentz",3,3,70
1744,"2017-02-13",32,175,"Utrecht The Netherlands","Germaine de Randamie",2,2,65
235,"2017-02-13",41,187,"Curitiba Brazil","Anderson Silva",3,0,84
2095,"2017-02-13",32,162,"Januaria, Minas Gerais Brazil","Wilson Reis",6,2,56
347,"2017-02-13",38,180,"Rio De Janeiro Brazil","Roan Carneiro",3,1,77
2739,"2017-02-13",26,190,"Spanish Town Jamaica","Randy Brown",4,2,77
2821,"2017-02-13",27,182,"Marshalltown, Iowa United States","Rick Glenn",1,0,70
2337,"2017-02-13",33,180,"Dallas, Texas United States","Jared Cannonier",2,2,93
896,"2017-02-13",37,185,"Espiritos Santos Brazil","Jacare Souza",5,1,84
1595,"2017-02-13",28,175,"Lafayette, Louisiana United States","Dustin Poirier",6,0,70
2055,"2017-02-13",33,185,"Lindenhurst, New York United States","Ryan LaFlare",3,1,77
2466,"2017-02-13",25,177,"Dagestan Russia","Islam Makhachev",3,1,70
1806,"2017-02-13",33,185,"Wilmington, North Carolina United States","Derek Brunson",7,0,84
