"ID","Fight_ID","corner","Last_round","Max_round","Prev","Round1_Strikes_Body.Significant.Strikes_Attempts","Round1_Strikes_Body.Significant.Strikes_Landed","Round1_Strikes_Body.Total.Strikes_Attempts","Round1_Strikes_Body.Total.Strikes_Landed","Round1_Strikes_Clinch.Body.Strikes_Attempts","Round1_Strikes_Clinch.Body.Strikes_Landed","Round1_Strikes_Clinch.Head.Strikes_Attempts","Round1_Strikes_Clinch.Head.Strikes_Landed","Round1_Strikes_Clinch.Leg.Strikes_Attempts","Round1_Strikes_Clinch.Leg.Strikes_Landed","Round1_Strikes_Clinch.Significant.Kicks_Attempts","Round1_Strikes_Clinch.Significant.Kicks_Landed","Round2_Strikes_Body.Significant.Strikes_Attempts","Round2_Strikes_Body.Significant.Strikes_Landed","Round2_Strikes_Body.Total.Strikes_Attempts","Round2_Strikes_Body.Total.Strikes_Landed","Round2_Strikes_Clinch.Body.Strikes_Attempts","Round2_Strikes_Clinch.Body.Strikes_Landed","Round2_Strikes_Clinch.Head.Strikes_Attempts","Round2_Strikes_Clinch.Head.Strikes_Landed","Round2_Strikes_Clinch.Leg.Strikes_Attempts","Round2_Strikes_Clinch.Leg.Strikes_Landed","Round2_Strikes_Clinch.Significant.Kicks_Attempts","Round2_Strikes_Clinch.Significant.Kicks_Landed","Round3_Strikes_Body.Significant.Strikes_Attempts","Round3_Strikes_Body.Significant.Strikes_Landed","Round3_Strikes_Body.Total.Strikes_Attempts","Round3_Strikes_Body.Total.Strikes_Landed","Round3_Strikes_Clinch.Body.Strikes_Attempts","Round3_Strikes_Clinch.Body.Strikes_Landed","Round3_Strikes_Clinch.Head.Strikes_Attempts","Round3_Strikes_Clinch.Head.Strikes_Landed","Round3_Strikes_Clinch.Leg.Strikes_Attempts","Round3_Strikes_Clinch.Leg.Strikes_Landed","Round3_Strikes_Clinch.Significant.Kicks_Attempts","Round3_Strikes_Clinch.Significant.Kicks_Landed","Round4_Strikes_Body.Significant.Strikes_Attempts","Round4_Strikes_Body.Significant.Strikes_Landed","Round4_Strikes_Body.Total.Strikes_Attempts","Round4_Strikes_Body.Total.Strikes_Landed","Round4_Strikes_Clinch.Body.Strikes_Attempts","Round4_Strikes_Clinch.Body.Strikes_Landed","Round4_Strikes_Clinch.Head.Strikes_Attempts","Round4_Strikes_Clinch.Head.Strikes_Landed","Round4_Strikes_Clinch.Leg.Strikes_Attempts","Round4_Strikes_Clinch.Leg.Strikes_Landed","Round4_Strikes_Clinch.Significant.Kicks_Attempts","Round4_Strikes_Clinch.Significant.Kicks_Landed","Round5_Strikes_Body.Significant.Strikes_Attempts","Round5_Strikes_Body.Significant.Strikes_Landed","Round5_Strikes_Body.Total.Strikes_Attempts","Round5_Strikes_Body.Total.Strikes_Landed","Round5_Strikes_Clinch.Body.Strikes_Attempts","Round5_Strikes_Clinch.Body.Strikes_Landed","Round5_Strikes_Clinch.Head.Strikes_Attempts","Round5_Strikes_Clinch.Head.Strikes_Landed","Round5_Strikes_Clinch.Leg.Strikes_Attempts","Round5_Strikes_Clinch.Leg.Strikes_Landed","Round5_Strikes_Clinch.Significant.Kicks_Attempts","Round5_Strikes_Clinch.Significant.Kicks_Landed","RStreak","winby","winner"
2809,6627,"blue",3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"DEC","blue"
1970,6545,"blue",3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"DEC","blue"
2789,6547,"blue",3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"KO/TKO","red"
2375,6589,"blue",3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"DEC","blue"
2364,6546,"blue",3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"DEC","red"
2882,6624,"blue",2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"KO/TKO","blue"
896,6591,"red",2,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"KO/TKO","blue"
1683,6625,"red",3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"DEC","blue"
1422,6592,"red",1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"SUB","red"
2166,6545,"red",3,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"DEC","blue"
1296,6592,"blue",1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"SUB","red"
